work_mode,word,n,tf,idf,tf_idf
hybrid,activation,21,0.003828623518687329,0.6931471805599453,0.002653799597403619
hybrid,website,21,0.003828623518687329,0.6931471805599453,0.002653799597403619
hybrid,evaluation,19,0.003463992707383774,0.6931471805599453,0.0024010567786032742
hybrid,monitoring,14,0.0025524156791248863,0.6931471805599453,0.001769199731602413
hybrid,partner,14,0.0025524156791248863,0.6931471805599453,0.001769199731602413
hybrid,indicators,13,0.0023701002734731083,0.6931471805599453,0.0016428283222022402
hybrid,security,12,0.0021877848678213308,0.6931471805599453,0.0015164569128020679
hybrid,access,11,0.0020054694621695532,0.6931471805599453,0.0013900855034018956
hybrid,client,11,0.0020054694621695532,0.6931471805599453,0.0013900855034018956
hybrid,country,11,0.0020054694621695532,0.6931471805599453,0.0013900855034018956
remote,employer,7,0.0032527881040892194,0.6931471805599453,0.0022546609033083725
remote,production,7,0.0032527881040892194,0.6931471805599453,0.0022546609033083725
remote,proficiency,7,0.0032527881040892194,0.6931471805599453,0.0022546609033083725
remote,remote,5,0.0023234200743494425,0.6931471805599453,0.0016104720737916945
remote,statements,5,0.0023234200743494425,0.6931471805599453,0.0016104720737916945
remote,article,4,0.0018587360594795538,0.6931471805599453,0.0012883776590333555
remote,direction,4,0.0018587360594795538,0.6931471805599453,0.0012883776590333555
remote,filming,4,0.0018587360594795538,0.6931471805599453,0.0012883776590333555
remote,footage,4,0.0018587360594795538,0.6931471805599453,0.0012883776590333555
remote,regular,4,0.0018587360594795538,0.6931471805599453,0.0012883776590333555
