participant_type,word,n,tf,idf,tf_idf
student,uncertainty,4,0.02877697841726619,0.6931471805599453,0.019946681454962454
student,stress,2,0.014388489208633094,0.6931471805599453,0.009973340727481227
student,confusing,1,0.007194244604316547,0.6931471805599453,0.0049866703637406135
student,challenge,67,0.48201438848920863,0,0
student,communication,39,0.2805755395683453,0,0
student,challenges,6,0.04316546762589928,0,0
student,issues,6,0.04316546762589928,0,0
student,workload,6,0.04316546762589928,0,0
student,remote,5,0.03597122302158273,0,0
student,difficult,1,0.007194244604316547,0,0
supervisor,hard,4,0.09090909090909091,0.6931471805599453,0.06301338005090412
supervisor,busy,3,0.06818181818181818,0.6931471805599453,0.047260035038178085
supervisor,communication,7,0.1590909090909091,0,0
supervisor,difficult,6,0.13636363636363635,0,0
supervisor,challenges,5,0.11363636363636363,0,0
supervisor,issues,5,0.11363636363636363,0,0
supervisor,remote,5,0.11363636363636363,0,0
supervisor,challenge,4,0.09090909090909091,0,0
supervisor,issue,3,0.06818181818181818,0,0
supervisor,logistics,1,0.022727272727272728,0,0
