early_late,word,n,tf,idf,tf_idf
early,faced,9,0.0028526148969889066,0.6931471805599453,0.0019772819730711592
early,written,7,0.0022187004754358162,0.6931471805599453,0.0015378859790553462
early,tool,6,0.001901743264659271,0.6931471805599453,0.0013181879820474396
early,actively,5,0.001584786053882726,0.6931471805599453,0.001098489985039533
early,collaborating,5,0.001584786053882726,0.6931471805599453,0.001098489985039533
early,inform,4,0.0012678288431061807,0.6931471805599453,8.787919880316264e-4
early,previous,4,0.0012678288431061807,0.6931471805599453,8.787919880316264e-4
early,rebranding,4,0.0012678288431061807,0.6931471805599453,8.787919880316264e-4
early,setting,4,0.0012678288431061807,0.6931471805599453,8.787919880316264e-4
early,sheet,4,0.0012678288431061807,0.6931471805599453,8.787919880316264e-4
late,chatbot,10,0.0022311468094600626,0.6931471805599453,0.0015465131203925599
late,indicator,9,0.002008032128514056,0.6931471805599453,0.0013918618083533037
late,coordinated,8,0.00178491744756805,0.6931471805599453,0.0012372104963140477
late,messaging,8,0.00178491744756805,0.6931471805599453,0.0012372104963140477
late,sheets,8,0.00178491744756805,0.6931471805599453,0.0012372104963140477
late,employer,7,0.0015618027666220438,0.6931471805599453,0.001082559184274792
late,outcome,7,0.0015618027666220438,0.6931471805599453,0.001082559184274792
late,remaining,7,0.0015618027666220438,0.6931471805599453,0.001082559184274792
late,managers,6,0.0013386880856760374,0.6931471805599453,9.279078722355358e-4
late,meals,6,0.0013386880856760374,0.6931471805599453,9.279078722355358e-4
